股票代码_StkCd,证监会行业门类代码_CsrcICCd1
000004,C
000006,K
000007,H
000008,F
000009,S
000014,K
000021,C
000027,D
000031,K
000032,C
000033,H
000034,S
000035,C
000036,K
000040,K
000042,K
000046,K
000048,C
000049,C
000050,C
000059,C
000060,C
000061,F
000062,S
000066,C
000069,L
000070,C
000078,C
000088,G
000089,G
000096,F
000099,G
000100,C
000150,K
000153,C
000155,C
000158,C
000159,C
000301,S
000400,C
000401,C
000402,K
000404,C
000407,C
000409,C
000410,C
000411,F
000417,F
000419,F
000420,C
000421,N
000422,C
000423,C
000425,C
000426,D
000430,L
000501,F
000503,S
000504,R
000506,K
000507,S
000509,C
000510,C
000511,K
000514,K
000516,F
000517,K
000518,C
000519,C
000520,G
000523,C
000525,C
000526,S
000527,C
000528,C
000529,C
000531,D
000532,S
000533,C
000534,K
000536,C
000537,K
000538,C
000540,S
000543,D
000544,N
000545,C
000547,C
000548,G
000551,C
000554,F
000555,C
000560,F
000561,C
000564,F
000565,C
000566,C
000567,K
000568,C
000572,C
000573,K
000576,S
000582,G
000584,C
000586,I
000589,C
000590,C
000591,F
000592,A
000593,F
000594,F
000595,C
000597,C
000598,N
000599,C
000600,D
000601,D
000602,I
000606,C
000607,C
000608,K
000610,L
000612,C
000615,C
000616,K
000617,C
000619,C
000623,C
000626,F
000629,C
000630,C
000631,K
000632,S
000633,S
000635,C
000636,C
000637,C
000639,C
000650,C
000651,C
000655,B
000659,C
000661,C
000663,A
000665,C
000667,K
000668,K
000669,C
000671,K
000673,C
000676,C
000679,F
000680,C
000682,C
000683,C
000685,D
000687,C
000690,D
000691,S
000692,D
000697,C
000698,C
000700,C
000701,S
000702,C
000703,C
000705,F
000707,C
000708,C
000709,C
000710,C
000711,K
000713,A
000715,F
000717,C
000718,K
000720,D
000721,H
000723,F
000727,C
000729,C
000731,C
000732,C
000733,C
000735,A
000736,K
000737,C
000738,C
000739,C
000748,C
000751,C
000752,C
000753,F
000755,C
000758,B
000760,C
000762,B
000766,C
000768,C
000777,C
000778,C
000779,C
000780,B
000782,C
000786,C
000788,C
000789,C
000790,C
000792,C
000795,C
000796,C
000797,K
000798,A
000799,C
000800,C
000801,C
000803,C
000806,C
000807,C
000811,C
000812,C
000813,C
000815,C
000816,C
000818,C
000819,C
000821,C
000822,C
000823,C
000825,C
000826,N
000828,G
000829,F
000830,C
000833,C
000835,C
000836,C
000837,C
000838,K
000839,S
000848,C
000850,C
000851,I
000852,C
000856,C
000858,C
000859,C
000860,A
000861,F
000862,C
000868,C
000875,D
000877,C
000878,C
000880,C
000881,S
000882,F
000883,D
000885,C
000886,G
000888,L
000889,F
000892,I
000893,C
000895,C
000897,K
000899,D
000900,G
000901,C
000903,C
000905,G
000906,F
000908,C
000909,C
000910,C
000911,C
000913,C
000915,C
000916,G
000918,K
000919,C
000920,C
000922,C
000923,C
000925,C
000926,K
000927,C
000928,C
000929,C
000930,C
000931,N
000933,B
000937,B
000938,I
000939,D
000948,I
000949,C
000951,C
000952,C
000955,C
000957,C
000960,C
000962,C
000963,F
000965,K
000966,D
000967,C
000968,B
000969,C
000970,C
000971,C
000972,C
000973,C
000976,C
000977,C
000978,L
000979,K
000980,C
000982,C
000983,B
000985,C
000988,C
000989,C
000990,C
000993,D
000996,S
000997,I
000998,A
000999,C
001696,C
001896,D
002001,C
002002,C
002003,C
002005,C
002006,C
002007,C
002008,C
002009,C
002010,C
002011,C
002012,C
002014,C
002015,C
002016,K
002017,C
002018,C
002019,C
002020,C
002021,C
002022,C
002023,G
002024,F
002025,C
002026,C
002027,C
002028,C
002029,C
002030,C
002031,C
002032,C
002033,L
002034,C
002035,C
002036,C
002037,C
002038,C
002039,D
002040,G
002041,A
002042,C
002043,C
002044,C
002045,C
002046,C
002047,C
002048,C
002049,C
002050,C
002053,C
002054,C
002056,C
002057,C
002058,C
002059,L
002061,C
002063,I
002064,C
002065,I
002066,C
002067,C
002068,C
002069,A
002070,C
002071,C
002072,C
002073,I
002074,C
002075,C
002076,C
002077,S
002078,C
002079,C
002080,C
002082,C
002083,C
002084,C
002085,C
002086,A
002087,C
002088,C
002089,C
002090,C
002091,F
002092,C
002093,I
002094,C
002095,I
002097,C
002098,C
002099,C
002100,C
002101,C
002102,C
002103,C
002104,C
002105,C
002106,C
002107,C
002108,C
002109,C
002110,C
002111,C
002112,C
002114,C
002115,C
002116,M
002117,C
002119,C
002120,C
002121,C
002122,C
002123,C
002124,C
002125,C
002126,C
002127,C
002128,B
002129,C
002130,C
002132,C
002133,K
002134,C
002137,C
002138,C
002139,C
002140,M
002143,C
002144,C
002145,C
002146,K
002147,C
002148,I
002149,C
002150,C
002151,C
002152,C
002153,I
002154,C
002155,B
002156,C
002157,C
002158,C
002159,L
002160,C
002161,C
002162,C
002164,C
002165,C
002166,C
002167,C
002168,C
002169,C
002170,C
002171,C
002172,C
002173,C
002174,C
002175,C
002176,C
002177,C
002178,M
002179,C
002182,C
002183,O
002184,I
002185,C
002186,H
002187,F
002188,C
002189,C
002190,C
002191,C
002192,C
002193,C
002194,C
002195,I
002196,C
002197,C
002198,C
002199,C
002200,A
002201,C
002203,C
002204,C
002205,C
002206,C
002207,B
002208,K
002209,C
002210,G
002211,C
002212,C
002213,C
002214,C
002215,C
002216,C
002217,C
002218,C
002219,C
002220,C
002221,F
002222,C
002223,C
002224,C
002225,C
002226,C
002227,C
002228,C
002229,C
002230,I
002231,C
002232,I
002233,C
002234,A
002235,C
002236,C
002237,C
002238,R
002239,C
002240,C
002241,C
002242,C
002243,C
002244,K
002245,O
002246,C
002247,C
002248,C
002249,C
002250,C
002251,F
002252,C
002253,I
002254,C
002255,C
002258,C
002259,C
002260,C
002261,I
002262,F
002263,C
002264,F
002265,C
002266,C
002267,D
002268,I
002269,F
002270,C
002271,C
002272,C
002273,C
002274,C
002277,F
002278,C
002279,I
002280,I
002281,C
002282,C
002283,C
002284,C
002285,K
002286,C
002287,C
002288,C
002289,C
002290,C
002291,C
002292,C
002293,C
002294,C
002295,C
002297,C
002298,C
002299,A
002300,C
002301,C
002302,C
002303,C
002304,C
002305,K
002306,H
002308,C
002309,C
002311,C
002312,C
002313,C
002314,C
002315,I
002316,I
002318,C
002319,C
002320,G
002321,A
002322,C
002323,C
002324,C
002326,C
002327,C
002328,C
002329,C
002330,C
002331,I
002332,C
002333,C
002334,C
002335,C
002336,F
002337,C
002338,C
002339,I
002340,C
002341,C
002342,C
002343,C
002344,S
002345,C
002346,C
002347,C
002348,C
002349,C
002350,C
002351,C
002352,C
002353,B
002354,C
002355,C
002356,C
002357,G
002358,C
002359,C
002360,C
002361,C
002362,I
002363,C
002365,C
002366,C
002367,C
002368,I
002369,C
002370,C
002371,C
002373,I
002374,C
002376,C
002377,C
002378,C
002379,C
002380,C
002381,C
002382,C
002383,C
002384,C
002385,C
002386,C
002387,C
002388,C
002389,C
002390,C
002391,C
002392,C
002393,C
002394,C
002395,C
002396,C
002397,C
002398,M
002399,C
002400,M
002401,I
002402,C
002403,C
002404,C
002405,I
002406,C
002407,C
002408,C
002409,C
002410,I
002411,C
002412,C
002413,C
002415,C
002417,C
002418,C
002419,F
002420,C
002421,I
002422,C
002423,C
002424,C
002425,C
002426,C
002427,C
002428,C
002429,C
002430,C
002432,C
002433,C
002434,C
002435,C
002436,C
002437,C
002438,C
300001,C
300002,I
300003,C
300004,C
300005,F
300007,C
300008,M
300009,C
300010,I
300011,C
300012,M
300013,G
300014,C
300015,Q
300017,I
300019,C
300020,I
300021,C
300022,F
300023,C
300024,C
300025,I
300026,C
300027,R
300029,C
300030,C
300031,C
300032,C
300033,I
300034,C
300035,C
300036,I
300037,C
300038,C
300039,C
300040,C
300041,C
300042,I
300043,C
300044,I
300045,C
300046,C
300047,I
300048,C
300049,C
300050,C
300052,I
300053,C
300054,C
300055,M
300056,C
300057,C
300059,I
300061,C
300062,C
300063,C
300064,C
300065,I
300066,C
300067,C
300068,C
300069,C
300070,O
300071,R
300072,C
300073,C
300074,I
300075,I
300076,C
300077,C
300078,C
300079,C
300080,C
300081,I
300082,C
300083,C
300084,B
300085,I
300086,C
300087,A
300088,C
300089,C
300090,C
300091,C
